"Lines","Long","Lat","crop","elevation_m"
"PI526321",30.75,-20.9,"pearl_millet",615
"PI526322",30.75,-20.9,"pearl_millet",615
"PI526324",30.63333333,-20.93333333,"pearl_millet",619
"PI526325",30.63333333,-20.93333333,"pearl_millet",619
"PI526326",30.63333333,-20.93333333,"pearl_millet",619
"PI526327",30.63333333,-20.93333333,"pearl_millet",619
"PI511045",43.81666667,13.58333333,"pearl_millet",993
"PI511025",44.01666667,13.58333333,"pearl_millet",1325
"PI511046",43.25,13.8,"pearl_millet",2
"PI511051",43.4,14.13333333,"pearl_millet",170
"PI511027",43.31666667,14.2,"pearl_millet",99
"PI511031",43.38333333,14.36666667,"pearl_millet",179
"PI511047",43.33333333,14.51666667,"pearl_millet",118
"PI511049",43.3,14.68333333,"pearl_millet",120
"PI511048",42.95,14.78333333,"pearl_millet",8
"PI511035",43.25,14.98333333,"pearl_millet",123
"PI511029",43,15.16666667,"pearl_millet",61
"PI511032",43.2,15.28333333,"pearl_millet",153
"PI511033",43.2,15.28333333,"pearl_millet",153
"PI511030",43,15.33333333,"pearl_millet",64
"PI511036",43.58333333,15.5,"pearl_millet",1414
"PI511039",42.96666667,15.65,"pearl_millet",55
"PI511044",43.3,16.01666667,"pearl_millet",393
"PI511038",43.7,16.05,"pearl_millet",1192
"PI511041",43.63333333,16.21666667,"pearl_millet",1546
"PI511052",44.08333333,16.26666667,"pearl_millet",1746
"PI511042",43.51666667,16.28333333,"pearl_millet",1232
"PI511043",43.51666667,16.28333333,"pearl_millet",1232
"PI511040",43.71666667,16.3,"pearl_millet",1346
"PLS302",-16.3833333,13.61,"pearl_millet",31
"PLS27",-16.03855,13.6101833,"pearl_millet",20
"PLS29",-15.6044528,13.6163667,"pearl_millet",31
"PLS30",-15.6427194,13.6271222,"pearl_millet",31
"PLS308",-15.6333333,13.65,"pearl_millet",31
"PLS310",-15.5833333,13.65,"pearl_millet",31
"PLS304",-16.1166667,13.6833333,"pearl_millet",28
"PLS32",-15.8300556,13.6906139,"pearl_millet",25
"PLS307",-15.8333333,13.7,"pearl_millet",25
"PLS31",-15.4333333,13.7166667,"pearl_millet",38
"PLS305",-16,13.7333333,"pearl_millet",36
"PLS38",-15.9983472,13.767475,"pearl_millet",35
"PLS309",-15.5870111,13.7712611,"pearl_millet",18
"PLS312",-15.75,13.7833333,"pearl_millet",25
"PLS40",-16.3272472,13.8009361,"pearl_millet",20
"PLS320",-15.4020417,13.8100139,"pearl_millet",45
"PLS12",-15.4367417,13.8195611,"pearl_millet",45
"PLS39",-16.266913,13.8246013,"pearl_millet",24
"PLS18",-15.1375889,13.8250611,"pearl_millet",28
"PLS19",-15.1830944,13.8275306,"pearl_millet",28
"PLS319",-15.4053444,13.8279611,"pearl_millet",45
"PLS25",-15.4333333,13.8333333,"pearl_millet",45
"PLS26",-15.4166667,13.8333333,"pearl_millet",45
"PLS313",-15.6333333,13.8666667,"pearl_millet",25
"PLS24",-15.6676472,13.9137639,"pearl_millet",32
"PLS33",-16.1872222,13.93205,"pearl_millet",21
"PLS35",-15.9456917,13.9391,"pearl_millet",17
"PLS36",-15.9501944,13.9629556,"pearl_millet",17
"PLS325",-14.9407421,13.9749165,"pearl_millet",47
"PLS20",-14.8,13.9833333,"pearl_millet",34
"PLS326",-14.7666667,14,"pearl_millet",34
"PLS322",-15.3,14.0166667,"pearl_millet",34
"PLS37",-16.0333333,14.0166667,"pearl_millet",15
"PLS318",-15.4781766,14.0187757,"pearl_millet",35
"PLS317",-15.4781766,14.0187758,"pearl_millet",35
"PLS23",-15.6454861,14.0354139,"pearl_millet",25
"PLS54",-16.3180106,14.0391658,"pearl_millet",6
"PLS22",-15.161725,14.04475,"pearl_millet",44
"PLS303",-16.0493222,14.0572194,"pearl_millet",9
"PLS314",-15.9332694,14.0692806,"pearl_millet",15
"PLS301",-16.1333333,14.0833333,"pearl_millet",7
"PLS44",-16.0683861,14.0858917,"pearl_millet",9
"PLS43",-16.1672278,14.0889639,"pearl_millet",7
"PLS42",-15.6166667,14.1,"pearl_millet",25
"PLS316",-15.7362926,14.1180348,"pearl_millet",16
"PLS10",-15.8833333,14.1333333,"pearl_millet",15
"PLS11",-15.75,14.1333333,"pearl_millet",17
"PLS315",-15.55,14.1333333,"pearl_millet",24
"PLS321",-14.9898724,14.145301,"pearl_millet",50
"PLS13",-15.4333333,14.1833333,"pearl_millet",31
"PLS45",-16.2333333,14.2166667,"pearl_millet",11
"PLS49",-16.6050944,14.2265278,"pearl_millet",3
"PLS48",-16.5775917,14.2271944,"pearl_millet",3
"PLS47",-16.75,14.2833306,"pearl_millet",11
"PLS14",-15.3,14.2833333,"pearl_millet",31
"PLS170",-16.8666667,14.3,"pearl_millet",14
"PLS167",-16.7329627,14.302254,"pearl_millet",14
"PLS56",-16.7404556,14.3469806,"pearl_millet",14
"PLS171",-16.8166667,14.35,"pearl_millet",19
"PLS57",-16.7076972,14.3610444,"pearl_millet",14
"PLS15",-15.2,14.3666667,"pearl_millet",28
"PLS166",-16.7072358,14.389505,"pearl_millet",16
"PLS50",-16.6609008,14.3906214,"pearl_millet",16
"PLS66",-16.2166667,14.4166667,"pearl_millet",17
"PLS224",-16.8,14.4333333,"pearl_millet",17
"PLS175",-16.9333333,14.45,"pearl_millet",7
"PLS176",-17.01,14.4572222,"pearl_millet",7
"PLS174",-16.95,14.4833333,"pearl_millet",13
"PLS61",-16.4333333,14.5333333,"pearl_millet",11
"PLS177",-17.0636111,14.5402778,"pearl_millet",7
"PLS67",-16.2559861,14.5422417,"pearl_millet",17
"PLS179",-17.1138889,14.5575,"pearl_millet",7
"PLS178",-17.0655556,14.5577778,"pearl_millet",7
"PLS197",-17.1255556,14.565,"pearl_millet",14
"PLS162",-16.6166667,14.5666667,"pearl_millet",16
"PLS129",-15.95,14.5666668,"pearl_millet",32
"PLS97",-16.15,14.6,"pearl_millet",23
"PLS98",-16.2080732,14.6027949,"pearl_millet",18
"PLS95",-16.152225,14.6150667,"pearl_millet",23
"PLS91",-16.4608167,14.6217833,"pearl_millet",17
"PLS90",-16.3946333,14.6261167,"pearl_millet",17
"PLS180",-17.1058333,14.6275,"pearl_millet",33
"PLS173",-16.7617644,14.6286623,"pearl_millet",25
"PLS155",-17.0877778,14.6391667,"pearl_millet",33
"PLS70",-16.5052667,14.6403833,"pearl_millet",14
"PLS94",-16.4346972,14.6417722,"pearl_millet",17
"PLS93",-16.3234063,14.6453144,"pearl_millet",19
"PLS84",-16.3363167,14.6623333,"pearl_millet",28
"PLS107",-16.3333333,14.6666667,"pearl_millet",28
"PLS69",-16.5333333,14.6666667,"pearl_millet",20
"PLS89",-16.3530667,14.6749667,"pearl_millet",28
"PLS159",-16.85,14.6833333,"pearl_millet",57
"PLS160",-16.7166667,14.6833333,"pearl_millet",19
"PLS161",-16.65,14.6833333,"pearl_millet",18
"PLS92",-16.47535,14.6869,"pearl_millet",25
"PLS158",-16.95,14.7,"pearl_millet",72
"PLS68",-16.5211833,14.71015,"pearl_millet",20
"PLS130",-15.8333333,14.7166667,"pearl_millet",30
"PLS72",-16.5672833,14.7211167,"pearl_millet",18
"PLS77",-16.5631333,14.7219833,"pearl_millet",20
"PLS127",-15.8300472,14.7227944,"pearl_millet",30
"PLS131",-16,14.7333333,"pearl_millet",27
"PLS201",-16.4166667,14.7333333,"pearl_millet",25
"PLS87",-16.4,14.7333333,"pearl_millet",25
"PLS101",-16.1095806,14.7399028,"pearl_millet",26
"PLS85",-16.3833333,14.75,"pearl_millet",32
"PLS103",-16.3499821,14.754799,"pearl_millet",32
"PLS73",-16.5764167,14.7609667,"pearl_millet",24
"PLS79",-16.7972333,14.7638833,"pearl_millet",33
"PLS111",-16.3,14.7666667,"pearl_millet",32
"PLS71",-16.6333333,14.7666667,"pearl_millet",24
"PLS82",-16.45,14.7666667,"pearl_millet",32
"PLS207",-16.5331047,14.771725,"pearl_millet",27
"PLS203",-16.5334667,14.7727167,"pearl_millet",27
"PLS199",-16.5334667,14.7727169,"pearl_millet",27
"PLS206",-16.5334667,14.772718,"pearl_millet",27
"PLS74",-16.6055667,14.7922833,"pearl_millet",24
"PLS214",-16.5469693,14.7974192,"pearl_millet",27
"PLS213",-16.5469693,14.7974194,"pearl_millet",27
"PLS212",-16.5469833,14.7981,"pearl_millet",27
"PLS120",-16.0166667,14.8,"pearl_millet",35
"PLS200",-16.5528833,14.8021244,"pearl_millet",27
"PLS220",-16.5528833,14.8021248,"pearl_millet",27
"PLS75",-16.5363111,14.8023333,"pearl_millet",27
"PLS209",-16.57075,14.8056833,"pearl_millet",24
"PLS83",-16.4113611,14.8144917,"pearl_millet",32
"PLS153",-16.7666667,14.8166667,"pearl_millet",33
"PLS217",-16.4457722,14.819375,"pearl_millet",32
"PLS211",-16.4164,14.82355,"pearl_millet",32
"PLS104",-16.15,14.8333333,"pearl_millet",38
"PLS113",-16.1572591,14.8564659,"pearl_millet",38
"PLS118",-15.9833333,14.8666667,"pearl_millet",46
"PLS112",-16.2166667,14.8833333,"pearl_millet",37
"PLS106",-16.2036778,14.8943722,"pearl_millet",37
"PLS121",-15.9541139,14.8964472,"pearl_millet",46
"PLS204",-16.4450861,14.9008778,"pearl_millet",39
"PLS182",-16.861726,14.9053549,"pearl_millet",69
"PLS223",-16.2700694,14.9110528,"pearl_millet",37
"PLS184",-16.9333333,14.9166667,"pearl_millet",73
"PLS116",-16.2,14.9333333,"pearl_millet",42
"PLS185",-16.9833333,14.9333333,"pearl_millet",35
"PLS198",-16.3666667,14.9333333,"pearl_millet",34
"PLS221",-16.3741,14.9380417,"pearl_millet",34
"PLS147",-16.4190528,14.9394361,"pearl_millet",29
"PLS123",-15.8833333,14.95,"pearl_millet",50
"PLS181",-16.9833333,14.95,"pearl_millet",35
"PLS115",-16.2989732,14.9533414,"pearl_millet",34
"PLS114",-16.3308025,14.9600008,"pearl_millet",34
"PLS125",-15.7833333,14.9666667,"pearl_millet",54
"PLS183",-16.9,14.9666667,"pearl_millet",66
"PLS46",-16.8666667,14.9666667,"pearl_millet",66
"PLS80",-16.46045,14.9720333,"pearl_millet",29
"PLS216",-16.7584134,14.9971074,"pearl_millet",49
"PLS222",-16.7584134,14.997108,"pearl_millet",49
"PLS151",-16.4166667,15,"pearl_millet",29
"PLS88",-16.4048139,15.0010361,"pearl_millet",29
"PLS235",-16.2503158,15.0376971,"pearl_millet",37
"PLS230",-16.2503158,15.0376975,"pearl_millet",37
"PLS137",-16.3333333,15.0666667,"pearl_millet",34
"PLS202",-16.6216667,15.1097222,"pearl_millet",43
"PLS196",-16.68,15.1175,"pearl_millet",52
"PLS208",-16.6568056,15.1287972,"pearl_millet",43
"PLS189",-16.1166667,15.1666667,"pearl_millet",44
"PLS138",-16.5697222,15.1769444,"pearl_millet",43
"PLS195",-16.7425,15.1769444,"pearl_millet",52
"PLS192",-16.6666667,15.2333333,"pearl_millet",47
"PLS186",-16.5166667,15.25,"pearl_millet",41
"PLS191",-16.6833333,15.3,"pearl_millet",36
"PLS187",-16.5428,15.3667722,"pearl_millet",46
"PLS226",-16.2166667,15.5333333,"pearl_millet",41
"PLS190",-16.5333333,15.5666667,"pearl_millet",29
"PLS124",-16.0477778,15.6502778,"pearl_millet",34
"PLS188",-16.3,15.8333333,"pearl_millet",18
